Year,Sector,Energy_source,PJ
1992,Building,Hard coal,64.0
1992,Building,Lignite,221.0
1992,Building,Natural gas & LPG,1001.0
1992,Building,Other,0.0
1992,Building,Petroleum,1519.0
1992,Building,Renewables,38.0
1992,Industry,District heat,69.0
1992,Industry,Electricity,682.0
1992,Industry,Hard coal,419.0
1992,Industry,Lignite,131.0
1992,Industry,Natural gas & LPG,723.0
1992,Industry,Other,0.0
1992,Industry,Petroleum,390.0
1992,Industry,Renewables,6.0
1992,Transportation,District heat,0.0
1992,Transportation,Electricity,54.0
1992,Transportation,Hard coal,1.0
1992,Transportation,Lignite,0.0
1992,Transportation,Natural gas & LPG,0.0
1992,Transportation,Other,0.0
1992,Transportation,Petroleum,2468.0
1992,Transportation,Renewables,0.0
1993,Agriculture,District heat,0.0
1993,Agriculture,Electricity,0.0
1993,Agriculture,Hard coal,0.0
1993,Agriculture,Lignite,0.0
1993,Agriculture,Natural gas & LPG,0.0
1993,Agriculture,Other,0.0
1993,Agriculture,Petroleum,0.0
1993,Agriculture,Renewables,0.0
1993,Building,District heat,287.0
1993,Building,Electricity,883.0
1993,Building,Hard coal,61.0
1993,Building,Lignite,184.0
1993,Building,Natural gas & LPG,1130.0
1993,Building,Other,0.0
1993,Building,Petroleum,1592.0
1993,Building,Renewables,39.0
1993,Industry,District heat,68.0
1993,Industry,Electricity,649.0
1993,Industry,Hard coal,367.0
1993,Industry,Lignite,110.0
1993,Industry,Natural gas & LPG,721.0
1993,Industry,Other,0.0
1993,Industry,Petroleum,371.0
1993,Industry,Renewables,14.0
1993,Transportation,District heat,0.0
1993,Transportation,Electricity,54.0
1993,Transportation,Hard coal,0.0
1993,Transportation,Lignite,0.0
1993,Transportation,Natural gas & LPG,0.0
1993,Transportation,Other,0.0
1993,Transportation,Petroleum,2542.0
1993,Transportation,Renewables,0.0
1994,Agriculture,District heat,0.0
1994,Agriculture,Electricity,0.0
1994,Agriculture,Hard coal,0.0
1994,Agriculture,Lignite,0.0
1994,Agriculture,Natural gas & LPG,0.0
1994,Agriculture,Other,0.0
1994,Agriculture,Petroleum,0.0
1994,Agriculture,Renewables,0.0
1994,Building,District heat,279.0
1994,Building,Electricity,884.0
1994,Building,Hard coal,54.0
1994,Building,Lignite,123.0
1994,Building,Natural gas & LPG,1148.0
1994,Building,Other,0.0
1994,Building,Petroleum,1539.0
1994,Building,Renewables,56.0
1994,Industry,District heat,70.0
1994,Industry,Electricity,666.0
1994,Industry,Hard coal,392.0
1994,Industry,Lignite,98.0
1994,Industry,Natural gas & LPG,734.0
1994,Industry,Other,0.0
1994,Industry,Petroleum,360.0
1994,Industry,Renewables,12.0
1994,Transportation,District heat,0.0
1994,Transportation,Electricity,55.0
1994,Transportation,Hard coal,0.0
1994,Transportation,Lignite,0.0
1994,Transportation,Natural gas & LPG,0.0
1994,Transportation,Other,0.0
1994,Transportation,Petroleum,2497.0
1994,Transportation,Renewables,0.0
1995,Agriculture,District heat,0.0
1995,Agriculture,Electricity,0.0
1995,Agriculture,Hard coal,0.0
1995,Agriculture,Lignite,0.0
1995,Agriculture,Natural gas & LPG,0.0
1995,Agriculture,Other,0.0
1995,Agriculture,Petroleum,0.0
1995,Agriculture,Renewables,0.0
1995,Building,District heat,296.0
1995,Building,Electricity,905.0
1995,Building,Hard coal,56.0
1995,Building,Lignite,97.0
1995,Building,Natural gas & LPG,1278.0
1995,Building,Other,0.0
1995,Building,Petroleum,1502.0
1995,Building,Renewables,98.0
1995,Industry,District heat,70.0
1995,Industry,Electricity,686.0
1995,Industry,Hard coal,398.0
1995,Industry,Lignite,81.0
1995,Industry,Natural gas & LPG,747.0
1995,Industry,Other,0.0
1995,Industry,Petroleum,346.0
1995,Industry,Renewables,10.0
1995,Transportation,District heat,0.0
1995,Transportation,Electricity,58.0
1995,Transportation,Hard coal,0.0
1995,Transportation,Lignite,0.0
1995,Transportation,Natural gas & LPG,0.0
1995,Transportation,Other,0.0
1995,Transportation,Petroleum,2554.0
1995,Transportation,Renewables,2.0
1996,Agriculture,District heat,0.0
1996,Agriculture,Electricity,0.0
1996,Agriculture,Hard coal,0.0
1996,Agriculture,Lignite,0.0
1996,Agriculture,Natural gas & LPG,0.0
1996,Agriculture,Other,0.0
1996,Agriculture,Petroleum,0.0
1996,Agriculture,Renewables,0.0
1996,Building,District heat,276.0
1996,Building,Electricity,938.0
1996,Building,Hard coal,51.0
1996,Building,Lignite,92.0
1996,Building,Natural gas & LPG,1533.0
1996,Building,Other,0.0
1996,Building,Petroleum,1648.0
1996,Building,Renewables,98.0
1996,Industry,District heat,68.0
1996,Industry,Electricity,677.0
1996,Industry,Hard coal,396.0
1996,Industry,Lignite,73.0
1996,Industry,Natural gas & LPG,740.0
1996,Industry,Other,0.0
1996,Industry,Petroleum,335.0
1996,Industry,Renewables,10.0
1996,Transportation,District heat,0.0
1996,Transportation,Electricity,60.0
1996,Transportation,Hard coal,0.0
1996,Transportation,Lignite,1.0
1996,Transportation,Natural gas & LPG,0.0
1996,Transportation,Other,0.0
1996,Transportation,Petroleum,2562.0
1996,Transportation,Renewables,2.0
1997,Agriculture,District heat,0.0
1997,Agriculture,Electricity,0.0
1997,Agriculture,Hard coal,0.0
1997,Agriculture,Lignite,0.0
1997,Agriculture,Natural gas & LPG,0.0
1997,Agriculture,Other,0.0
1997,Agriculture,Petroleum,0.0
1997,Agriculture,Renewables,0.0
1997,Building,District heat,247.0
1997,Building,Electricity,929.0
1997,Building,Hard coal,50.0
1997,Building,Lignite,63.0
1997,Building,Natural gas & LPG,1430.0
1997,Building,Other,0.0
1997,Building,Petroleum,1572.0
1997,Building,Renewables,161.0
1997,Industry,District heat,62.0
1997,Industry,Electricity,701.0
1997,Industry,Hard coal,410.0
1997,Industry,Lignite,67.0
1997,Industry,Natural gas & LPG,739.0
1997,Industry,Other,0.0
1997,Industry,Petroleum,316.0
1997,Industry,Renewables,10.0
1997,Transportation,District heat,0.0
1997,Transportation,Electricity,61.0
1997,Transportation,Hard coal,0.0
1997,Transportation,Lignite,1.0
1997,Transportation,Natural gas & LPG,0.0
1997,Transportation,Other,0.0
1997,Transportation,Petroleum,2577.0
1997,Transportation,Renewables,4.0
1998,Agriculture,District heat,0.0
1998,Agriculture,Electricity,0.0
1998,Agriculture,Hard coal,0.0
1998,Agriculture,Lignite,0.0
1998,Agriculture,Natural gas & LPG,0.0
1998,Agriculture,Other,0.0
1998,Agriculture,Petroleum,0.0
1998,Agriculture,Renewables,0.0
1998,Building,District heat,249.0
1998,Building,Electricity,935.0
1998,Building,Hard coal,32.0
1998,Building,Lignite,41.0
1998,Building,Natural gas & LPG,1444.0
1998,Building,Other,0.0
1998,Building,Petroleum,1503.0
1998,Building,Renewables,168.0
1998,Industry,District heat,62.0
1998,Industry,Electricity,716.0
1998,Industry,Hard coal,358.0
1998,Industry,Lignite,63.0
1998,Industry,Natural gas & LPG,752.0
1998,Industry,Other,0.0
1998,Industry,Petroleum,300.0
1998,Industry,Renewables,14.0
1998,Transportation,District heat,0.0
1998,Transportation,Electricity,58.0
1998,Transportation,Hard coal,0.0
1998,Transportation,Lignite,1.0
1998,Transportation,Natural gas & LPG,0.0
1998,Transportation,Other,0.0
1998,Transportation,Petroleum,2628.0
1998,Transportation,Renewables,4.0
1999,Agriculture,District heat,0.0
1999,Agriculture,Electricity,0.0
1999,Agriculture,Hard coal,0.0
1999,Agriculture,Lignite,0.0
1999,Agriculture,Natural gas & LPG,0.0
1999,Agriculture,Other,0.0
1999,Agriculture,Petroleum,0.0
1999,Agriculture,Renewables,0.0
1999,Building,District heat,232.0
1999,Building,Electricity,938.0
1999,Building,Hard coal,34.0
1999,Building,Lignite,33.0
1999,Building,Natural gas & LPG,1422.0
1999,Building,Other,0.0
1999,Building,Petroleum,1304.0
1999,Building,Renewables,173.0
1999,Industry,District heat,58.0
1999,Industry,Electricity,723.0
1999,Industry,Hard coal,359.0
1999,Industry,Lignite,59.0
1999,Industry,Natural gas & LPG,779.0
1999,Industry,Other,0.0
1999,Industry,Petroleum,269.0
1999,Industry,Renewables,14.0
1999,Transportation,District heat,0.0
1999,Transportation,Electricity,57.0
1999,Transportation,Hard coal,0.0
1999,Transportation,Lignite,1.0
1999,Transportation,Natural gas & LPG,0.0
1999,Transportation,Other,0.0
1999,Transportation,Petroleum,2718.0
1999,Transportation,Renewables,5.0
2000,Agriculture,District heat,0.0
2000,Agriculture,Electricity,0.0
2000,Agriculture,Hard coal,0.0
2000,Agriculture,Lignite,0.0
2000,Agriculture,Natural gas & LPG,0.0
2000,Agriculture,Other,0.0
2000,Agriculture,Petroleum,0.0
2000,Agriculture,Renewables,0.0
2000,Building,District heat,222.0
2000,Building,Electricity,974.0
2000,Building,Hard coal,41.0
2000,Building,Lignite,27.0
2000,Building,Natural gas & LPG,1393.0
2000,Building,Other,0.0
2000,Building,Petroleum,1231.0
2000,Building,Renewables,174.0
2000,Industry,District heat,43.0
2000,Industry,Electricity,748.0
2000,Industry,Hard coal,391.0
2000,Industry,Lignite,54.0
2000,Industry,Natural gas & LPG,812.0
2000,Industry,Other,0.0
2000,Industry,Petroleum,235.0
2000,Industry,Renewables,14.0
2000,Transportation,District heat,0.0
2000,Transportation,Electricity,57.0
2000,Transportation,Hard coal,0.0
2000,Transportation,Lignite,0.0
2000,Transportation,Natural gas & LPG,0.0
2000,Transportation,Other,0.0
2000,Transportation,Petroleum,2681.0
2000,Transportation,Renewables,12.0
2001,Agriculture,District heat,0.0
2001,Agriculture,Electricity,0.0
2001,Agriculture,Hard coal,0.0
2001,Agriculture,Lignite,0.0
2001,Agriculture,Natural gas & LPG,0.0
2001,Agriculture,Other,0.0
2001,Agriculture,Petroleum,0.0
2001,Agriculture,Renewables,0.0
2001,Building,District heat,223.0
2001,Building,Electricity,970.0
2001,Building,Hard coal,43.0
2001,Building,Lignite,27.0
2001,Building,Natural gas & LPG,1530.0
2001,Building,Other,0.0
2001,Building,Petroleum,1398.0
2001,Building,Renewables,200.0
2001,Industry,District heat,44.0
2001,Industry,Electricity,750.0
2001,Industry,Hard coal,366.0
2001,Industry,Lignite,49.0
2001,Industry,Natural gas & LPG,794.0
2001,Industry,Other,0.0
2001,Industry,Petroleum,235.0
2001,Industry,Renewables,15.0
2001,Transportation,District heat,0.0
2001,Transportation,Electricity,58.0
2001,Transportation,Hard coal,0.0
2001,Transportation,Lignite,0.0
2001,Transportation,Natural gas & LPG,0.0
2001,Transportation,Other,0.0
2001,Transportation,Petroleum,2623.0
2001,Transportation,Renewables,17.0
2002,Agriculture,District heat,0.0
2002,Agriculture,Electricity,0.0
2002,Agriculture,Hard coal,0.0
2002,Agriculture,Lignite,0.0
2002,Agriculture,Natural gas & LPG,0.0
2002,Agriculture,Other,0.0
2002,Agriculture,Petroleum,0.0
2002,Agriculture,Renewables,0.0
2002,Building,District heat,228.0
2002,Building,Electricity,992.0
2002,Building,Hard coal,42.0
2002,Building,Lignite,21.0
2002,Building,Natural gas & LPG,1509.0
2002,Building,Other,0.0
2002,Building,Petroleum,1246.0
2002,Building,Renewables,196.0
2002,Industry,District heat,43.0
2002,Industry,Electricity,751.0
2002,Industry,Hard coal,356.0
2002,Industry,Lignite,49.0
2002,Industry,Natural gas & LPG,781.0
2002,Industry,Other,0.0
2002,Industry,Petroleum,224.0
2002,Industry,Renewables,15.0
2002,Transportation,District heat,0.0
2002,Transportation,Electricity,58.0
2002,Transportation,Hard coal,0.0
2002,Transportation,Lignite,0.0
2002,Transportation,Natural gas & LPG,0.0
2002,Transportation,Other,0.0
2002,Transportation,Petroleum,2594.0
2002,Transportation,Renewables,20.0
2003,Agriculture,District heat,0.0
2003,Agriculture,Electricity,0.0
2003,Agriculture,Hard coal,0.0
2003,Agriculture,Lignite,0.0
2003,Agriculture,Natural gas & LPG,0.0
2003,Agriculture,Other,0.0
2003,Agriculture,Petroleum,0.0
2003,Agriculture,Renewables,0.0
2003,Building,District heat,321.0
2003,Building,Electricity,1022.0
2003,Building,Hard coal,13.0
2003,Building,Lignite,21.0
2003,Building,Natural gas & LPG,1423.0
2003,Building,Other,0.0
2003,Building,Petroleum,1213.0
2003,Building,Renewables,249.0
2003,Industry,District heat,107.0
2003,Industry,Electricity,789.0
2003,Industry,Hard coal,357.0
2003,Industry,Lignite,53.0
2003,Industry,Natural gas & LPG,785.0
2003,Industry,Other,62.0
2003,Industry,Petroleum,209.0
2003,Industry,Renewables,54.0
2003,Transportation,District heat,0.0
2003,Transportation,Electricity,47.0
2003,Transportation,Hard coal,0.0
2003,Transportation,Lignite,0.0
2003,Transportation,Natural gas & LPG,2.0
2003,Transportation,Other,0.0
2003,Transportation,Petroleum,2505.0
2003,Transportation,Renewables,29.0
2004,Agriculture,District heat,0.0
2004,Agriculture,Electricity,0.0
2004,Agriculture,Hard coal,0.0
2004,Agriculture,Lignite,0.0
2004,Agriculture,Natural gas & LPG,0.0
2004,Agriculture,Other,0.0
2004,Agriculture,Petroleum,0.0
2004,Agriculture,Renewables,0.0
2004,Building,District heat,344.0
2004,Building,Electricity,1026.0
2004,Building,Hard coal,10.0
2004,Building,Lignite,19.0
2004,Building,Natural gas & LPG,1395.0
2004,Building,Other,0.0
2004,Building,Petroleum,1081.0
2004,Building,Renewables,257.0
2004,Industry,District heat,105.0
2004,Industry,Electricity,810.0
2004,Industry,Hard coal,329.0
2004,Industry,Lignite,63.0
2004,Industry,Natural gas & LPG,780.0
2004,Industry,Other,76.0
2004,Industry,Petroleum,190.0
2004,Industry,Renewables,77.0
2004,Transportation,District heat,0.0
2004,Transportation,Electricity,46.0
2004,Transportation,Hard coal,0.0
2004,Transportation,Lignite,0.0
2004,Transportation,Natural gas & LPG,3.0
2004,Transportation,Other,0.0
2004,Transportation,Petroleum,2532.0
2004,Transportation,Renewables,38.0
2005,Agriculture,District heat,0.0
2005,Agriculture,Electricity,0.0
2005,Agriculture,Hard coal,0.0
2005,Agriculture,Lignite,0.0
2005,Agriculture,Natural gas & LPG,0.0
2005,Agriculture,Other,0.0
2005,Agriculture,Petroleum,0.0
2005,Agriculture,Renewables,0.0
2005,Building,District heat,333.0
2005,Building,Electricity,1012.0
2005,Building,Hard coal,10.0
2005,Building,Lignite,19.0
2005,Building,Natural gas & LPG,1354.0
2005,Building,Other,0.0
2005,Building,Petroleum,1092.0
2005,Building,Renewables,260.0
2005,Industry,District heat,114.0
2005,Industry,Electricity,823.0
2005,Industry,Hard coal,296.0
2005,Industry,Lignite,59.0
2005,Industry,Natural gas & LPG,776.0
2005,Industry,Other,29.0
2005,Industry,Petroleum,172.0
2005,Industry,Renewables,88.0
2005,Transportation,District heat,0.0
2005,Transportation,Electricity,47.0
2005,Transportation,Hard coal,0.0
2005,Transportation,Lignite,0.0
2005,Transportation,Natural gas & LPG,3.0
2005,Transportation,Other,0.0
2005,Transportation,Petroleum,2469.0
2005,Transportation,Renewables,76.0
2006,Agriculture,District heat,0.0
2006,Agriculture,Electricity,0.0
2006,Agriculture,Hard coal,0.0
2006,Agriculture,Lignite,0.0
2006,Agriculture,Natural gas & LPG,0.0
2006,Agriculture,Other,0.0
2006,Agriculture,Petroleum,0.0
2006,Agriculture,Renewables,0.0
2006,Building,District heat,306.0
2006,Building,Electricity,1030.0
2006,Building,Hard coal,10.0
2006,Building,Lignite,23.0
2006,Building,Natural gas & LPG,1421.0
2006,Building,Other,0.0
2006,Building,Petroleum,1166.0
2006,Building,Renewables,306.0
2006,Industry,District heat,138.0
2006,Industry,Electricity,825.0
2006,Industry,Hard coal,329.0
2006,Industry,Lignite,59.0
2006,Industry,Natural gas & LPG,778.0
2006,Industry,Other,20.0
2006,Industry,Petroleum,189.0
2006,Industry,Renewables,86.0
2006,Transportation,District heat,0.0
2006,Transportation,Electricity,46.0
2006,Transportation,Hard coal,0.0
2006,Transportation,Lignite,0.0
2006,Transportation,Natural gas & LPG,4.0
2006,Transportation,Other,0.0
2006,Transportation,Petroleum,2498.0
2006,Transportation,Renewables,140.0
2007,Agriculture,District heat,0.0
2007,Agriculture,Electricity,0.0
2007,Agriculture,Hard coal,0.0
2007,Agriculture,Lignite,0.0
2007,Agriculture,Natural gas & LPG,0.0
2007,Agriculture,Other,0.0
2007,Agriculture,Petroleum,0.0
2007,Agriculture,Renewables,0.0
2007,Building,District heat,276.0
2007,Building,Electricity,1017.0
2007,Building,Hard coal,13.0
2007,Building,Lignite,15.0
2007,Building,Natural gas & LPG,1287.0
2007,Building,Other,0.0
2007,Building,Petroleum,743.0
2007,Building,Renewables,331.0
2007,Industry,District heat,151.0
2007,Industry,Electricity,850.0
2007,Industry,Hard coal,336.0
2007,Industry,Lignite,63.0
2007,Industry,Natural gas & LPG,820.0
2007,Industry,Other,35.0
2007,Industry,Petroleum,169.0
2007,Industry,Renewables,103.0
2007,Transportation,District heat,0.0
2007,Transportation,Electricity,44.0
2007,Transportation,Hard coal,0.0
2007,Transportation,Lignite,0.0
2007,Transportation,Natural gas & LPG,4.0
2007,Transportation,Other,0.0
2007,Transportation,Petroleum,2376.0
2007,Transportation,Renewables,159.0
2008,Agriculture,District heat,0.0
2008,Agriculture,Electricity,0.0
2008,Agriculture,Hard coal,0.0
2008,Agriculture,Lignite,0.0
2008,Agriculture,Natural gas & LPG,0.0
2008,Agriculture,Other,0.0
2008,Agriculture,Petroleum,0.0
2008,Agriculture,Renewables,0.0
2008,Building,District heat,306.0
2008,Building,Electricity,1028.0
2008,Building,Hard coal,12.0
2008,Building,Lignite,22.0
2008,Building,Natural gas & LPG,1357.0
2008,Building,Other,0.0
2008,Building,Petroleum,1027.0
2008,Building,Renewables,388.0
2008,Industry,District heat,130.0
2008,Industry,Electricity,837.0
2008,Industry,Hard coal,318.0
2008,Industry,Lignite,66.0
2008,Industry,Natural gas & LPG,817.0
2008,Industry,Other,62.0
2008,Industry,Petroleum,159.0
2008,Industry,Renewables,79.0
2008,Transportation,District heat,0.0
2008,Transportation,Electricity,40.0
2008,Transportation,Hard coal,0.0
2008,Transportation,Lignite,0.0
2008,Transportation,Natural gas & LPG,5.0
2008,Transportation,Other,0.0
2008,Transportation,Petroleum,2376.0
2008,Transportation,Renewables,124.0
2009,Agriculture,District heat,0.0
2009,Agriculture,Electricity,0.0
2009,Agriculture,Hard coal,0.0
2009,Agriculture,Lignite,0.0
2009,Agriculture,Natural gas & LPG,0.0
2009,Agriculture,Other,0.0
2009,Agriculture,Petroleum,0.0
2009,Agriculture,Renewables,0.0
2009,Building,District heat,275.0
2009,Building,Electricity,1034.0
2009,Building,Hard coal,10.0
2009,Building,Lignite,22.0
2009,Building,Natural gas & LPG,1321.0
2009,Building,Other,0.0
2009,Building,Petroleum,916.0
2009,Building,Renewables,372.0
2009,Industry,District heat,152.0
2009,Industry,Electricity,719.0
2009,Industry,Hard coal,259.0
2009,Industry,Lignite,58.0
2009,Industry,Natural gas & LPG,706.0
2009,Industry,Other,74.0
2009,Industry,Petroleum,142.0
2009,Industry,Renewables,88.0
2009,Transportation,District heat,0.0
2009,Transportation,Electricity,42.0
2009,Transportation,Hard coal,0.0
2009,Transportation,Lignite,0.0
2009,Transportation,Natural gas & LPG,5.0
2009,Transportation,Other,0.0
2009,Transportation,Petroleum,2362.0
2009,Transportation,Renewables,110.0
2010,Agriculture,District heat,0.0
2010,Agriculture,Electricity,21.2
2010,Agriculture,Hard coal,0.0
2010,Agriculture,Lignite,0.0
2010,Agriculture,Natural gas & LPG,17.0
2010,Agriculture,Other,0.0
2010,Agriculture,Petroleum,0.0
2010,Agriculture,Renewables,0.0
2010,Building,District heat,326.0
2010,Building,Electricity,1079.0
2010,Building,Hard coal,20.0
2010,Building,Lignite,25.0
2010,Building,Natural gas & LPG,1442.0
2010,Building,Other,0.0
2010,Building,Petroleum,914.0
2010,Building,Renewables,447.0
2010,Industry,District heat,146.0
2010,Industry,Electricity,799.0
2010,Industry,Hard coal,334.0
2010,Industry,Lignite,64.0
2010,Industry,Natural gas & LPG,798.0
2010,Industry,Other,72.0
2010,Industry,Petroleum,164.0
2010,Industry,Renewables,113.0
2010,Transportation,District heat,0.0
2010,Transportation,Electricity,43.0
2010,Transportation,Hard coal,0.0
2010,Transportation,Lignite,0.0
2010,Transportation,Natural gas & LPG,5.0
2010,Transportation,Other,0.0
2010,Transportation,Petroleum,2365.0
2010,Transportation,Renewables,121.0
2011,Agriculture,District heat,0.0
2011,Agriculture,Electricity,20.3
2011,Agriculture,Hard coal,0.0
2011,Agriculture,Lignite,0.0
2011,Agriculture,Natural gas & LPG,19.7
2011,Agriculture,Other,0.0
2011,Agriculture,Petroleum,0.0
2011,Agriculture,Renewables,0.0
2011,Building,District heat,250.0
2011,Building,Electricity,1034.0
2011,Building,Hard coal,19.0
2011,Building,Lignite,21.0
2011,Building,Natural gas & LPG,1235.0
2011,Building,Other,0.0
2011,Building,Petroleum,816.0
2011,Building,Renewables,408.0
2011,Industry,District heat,169.0
2011,Industry,Electricity,818.0
2011,Industry,Hard coal,334.0
2011,Industry,Lignite,73.0
2011,Industry,Natural gas & LPG,794.0
2011,Industry,Other,96.0
2011,Industry,Petroleum,147.0
2011,Industry,Renewables,121.0
2011,Transportation,District heat,0.0
2011,Transportation,Electricity,44.0
2011,Transportation,Hard coal,0.0
2011,Transportation,Lignite,0.0
2011,Transportation,Natural gas & LPG,6.0
2011,Transportation,Other,0.0
2011,Transportation,Petroleum,2371.0
2011,Transportation,Renewables,118.0
2012,Agriculture,District heat,0.0
2012,Agriculture,Electricity,20.5
2012,Agriculture,Hard coal,0.0
2012,Agriculture,Lignite,0.0
2012,Agriculture,Natural gas & LPG,16.1
2012,Agriculture,Other,0.0
2012,Agriculture,Petroleum,0.0
2012,Agriculture,Renewables,0.0
2012,Building,District heat,242.0
2012,Building,Electricity,1034.0
2012,Building,Hard coal,15.0
2012,Building,Lignite,20.0
2012,Building,Natural gas & LPG,1281.0
2012,Building,Other,0.0
2012,Building,Petroleum,847.0
2012,Building,Renewables,464.0
2012,Industry,District heat,188.0
2012,Industry,Electricity,814.0
2012,Industry,Hard coal,326.0
2012,Industry,Lignite,72.0
2012,Industry,Natural gas & LPG,790.0
2012,Industry,Other,77.0
2012,Industry,Petroleum,132.0
2012,Industry,Renewables,111.0
2012,Transportation,District heat,0.0
2012,Transportation,Electricity,43.0
2012,Transportation,Hard coal,0.0
2012,Transportation,Lignite,0.0
2012,Transportation,Natural gas & LPG,6.0
2012,Transportation,Other,0.0
2012,Transportation,Petroleum,2374.0
2012,Transportation,Renewables,124.0
2013,Agriculture,District heat,0.0
2013,Agriculture,Electricity,16.1
2013,Agriculture,Hard coal,0.0
2013,Agriculture,Lignite,0.0
2013,Agriculture,Natural gas & LPG,15.2
2013,Agriculture,Other,0.0
2013,Agriculture,Petroleum,0.0
2013,Agriculture,Renewables,0.0
2013,Building,District heat,245.0
2013,Building,Electricity,1031.0
2013,Building,Hard coal,9.0
2013,Building,Lignite,20.0
2013,Building,Natural gas & LPG,1377.0
2013,Building,Other,0.0
2013,Building,Petroleum,928.0
2013,Building,Renewables,486.0
2013,Industry,District heat,190.0
2013,Industry,Electricity,807.0
2013,Industry,Hard coal,329.0
2013,Industry,Lignite,72.0
2013,Industry,Natural gas & LPG,801.0
2013,Industry,Other,61.0
2013,Industry,Petroleum,118.0
2013,Industry,Renewables,110.0
2013,Transportation,District heat,0.0
2013,Transportation,Electricity,43.0
2013,Transportation,Hard coal,0.0
2013,Transportation,Lignite,0.0
2013,Transportation,Natural gas & LPG,6.0
2013,Transportation,Other,0.0
2013,Transportation,Petroleum,2433.0
2013,Transportation,Renewables,113.0
2014,Agriculture,District heat,0.0
2014,Agriculture,Electricity,22.5
2014,Agriculture,Hard coal,0.0
2014,Agriculture,Lignite,0.0
2014,Agriculture,Natural gas & LPG,18.4
2014,Agriculture,Other,0.0
2014,Agriculture,Petroleum,0.0
2014,Agriculture,Renewables,0.0
2014,Building,District heat,209.0
2014,Building,Electricity,977.0
2014,Building,Hard coal,12.0
2014,Building,Lignite,14.0
2014,Building,Natural gas & LPG,1170.0
2014,Building,Other,0.0
2014,Building,Petroleum,812.0
2014,Building,Renewables,424.0
2014,Industry,District heat,174.0
2014,Industry,Electricity,824.0
2014,Industry,Hard coal,336.0
2014,Industry,Lignite,71.0
2014,Industry,Natural gas & LPG,780.0
2014,Industry,Other,65.0
2014,Industry,Petroleum,98.0
2014,Industry,Renewables,114.0
2014,Transportation,District heat,0.0
2014,Transportation,Electricity,41.0
2014,Transportation,Hard coal,0.0
2014,Transportation,Lignite,0.0
2014,Transportation,Natural gas & LPG,6.0
2014,Transportation,Other,0.0
2014,Transportation,Petroleum,2441.0
2014,Transportation,Renewables,116.0
2015,Agriculture,District heat,0.0
2015,Agriculture,Electricity,19.9
2015,Agriculture,Hard coal,0.0
2015,Agriculture,Lignite,0.0
2015,Agriculture,Natural gas & LPG,15.8
2015,Agriculture,Other,0.0
2015,Agriculture,Petroleum,0.0
2015,Agriculture,Renewables,0.0
2015,Building,District heat,228.0
2015,Building,Electricity,1004.0
2015,Building,Hard coal,19.0
2015,Building,Lignite,14.0
2015,Building,Natural gas & LPG,1270.0
2015,Building,Other,0.0
2015,Building,Petroleum,804.0
2015,Building,Renewables,440.0
2015,Industry,District heat,173.0
